,forecast,lower_ci_95,lower_ci_99,upper_ci_95,upper_ci_99
2021-09-01,413.93773242296584,413.4037990557112,413.4037990557112,414.47166579022047,414.47166579022047
2021-10-01,415.4394526180201,414.6478085594303,414.6478085594303,416.23109667660987,416.23109667660987
2021-11-01,416.3933416618972,415.40931128110185,415.40931128110185,417.3773720426925,417.3773720426925
2021-12-01,417.084395452875,415.93987316599896,415.93987316599896,418.22891773975107,418.22891773975107
2022-01-01,417.61274749442265,416.3276223098652,416.3276223098652,418.8978726789801,418.8978726789801
2022-02-01,418.0569510945076,416.64515712412395,416.64515712412395,419.46874506489127,419.46874506489127
2022-03-01,418.4228810616344,416.89488312654436,416.89488312654436,419.9508789967245,419.9508789967245
2022-04-01,418.47258686331566,416.8366182925701,416.8366182925701,420.1085554340612,420.1085554340612
2022-05-01,417.62465628629764,415.88741461073977,415.88741461073977,419.3618979618555,419.3618979618555
2022-06-01,415.9250424434683,414.09211469963293,414.09211469963293,417.7579701873037,417.7579701873037
2022-07-01,414.5669343620606,412.64307376709013,412.64307376709013,416.490794957031,416.490794957031
2022-08-01,414.7778355877324,412.76715036564997,412.76715036564997,416.7885208098148,416.7885208098148
2022-09-01,416.3157569626756,414.16571323297944,414.16571323297944,418.4658006923718,418.4658006923718
2022-10-01,417.81752859972994,415.5309769800527,415.5309769800527,420.1040802194072,420.1040802194072
2022-11-01,418.77138041447864,416.3560235921258,416.3560235921258,421.1867372368315,421.1867372368315
2022-12-01,419.4624044556273,416.92477192724095,416.92477192724095,422.0000369840136,422.0000369840136
2023-01-01,419.99073997600425,417.33645869494865,417.33645869494865,422.64502125705985,422.64502125705985
2023-02-01,420.43487702789497,417.6688619540387,417.6688619540387,423.20089210175126,423.20089210175126
2023-03-01,420.80077440376976,417.9273670782,417.9273670782,423.6741817293395,423.6741817293395
2023-04-01,420.8505677841918,417.8736398494786,417.8736398494786,423.827495718905,423.827495718905
2023-05-01,420.0026593099044,416.9256916145403,416.9256916145403,423.0796270052685,423.0796270052685
2023-06-01,418.3030102791326,415.1291545060794,415.1291545060794,421.4768660521858,421.4768660521858
2023-07-01,416.94490109527476,413.6770285858914,413.6770285858914,420.21277360465814,420.21277360465814
2023-08-01,417.15580179578853,413.79654279962995,413.79654279962995,420.5150607919471,420.5150607919471
2023-09-01,418.6937230606265,415.20123868348014,415.20123868348014,422.18620743777285,422.18620743777285
2023-10-01,420.1954946677048,416.5702211482818,416.5702211482818,423.8207681871278,423.8207681871278
2023-11-01,421.1493465041475,417.3959788087781,417.3959788087781,424.9027141995169,424.9027141995169
2023-12-01,421.8403705626318,417.9631382994503,417.9631382994503,425.7176028258133,425.7176028258133
2024-01-01,422.3687060926359,418.37144565720405,418.37144565720405,426.3659665280677,426.3659665280677
