,forecast,lower_ci_95,lower_ci_99,upper_ci_95,upper_ci_99
2021-01-01,38635767951.71882,36968422919.38438,36968422919.38438,40303112984.05326,40303112984.05326
2022-01-01,37787104454.18361,35136225316.14974,35136225316.14974,40437983592.217476,40437983592.217476
2023-01-01,38276149407.99729,34918429802.06293,34918429802.06293,41633869013.931656,41633869013.931656
2024-01-01,38578051773.52914,34638330755.52686,34638330755.52686,42517772791.53141,42517772791.53141
2025-01-01,38510440248.18951,34064259589.77023,34064259589.77023,42956620906.60879,42956620906.60879
2026-01-01,39380291515.93834,34479715713.55404,34479715713.55404,44280867318.32264,44280867318.32264
2027-01-01,40613567756.98994,35297294255.51098,35297294255.51098,45929841258.468895,45929841258.468895
2028-01-01,40879846805.62744,35178102801.36522,35178102801.36522,46581590809.88966,46581590809.88966
2029-01-01,41279081280.736,35216325683.01041,35216325683.01041,47341836878.46159,47341836878.46159
2030-01-01,42508432114.86956,36104985684.59735,36104985684.59735,48911878545.14177,48911878545.14177
2031-01-01,42819245764.556625,36092341057.859886,36092341057.859886,49546150471.253365,49546150471.253365
2032-01-01,43116963188.97314,36081455554.08342,36081455554.08342,50152470823.862854,50152470823.862854
2033-01-01,43492080284.35669,36097948504.30379,36097948504.30379,50886212064.40959,50886212064.40959
2034-01-01,44101676565.083496,36350528118.55939,36350528118.55939,51852825011.607605,51852825011.607605
2035-01-01,45333038426.18528,37240608648.96028,37240608648.96028,53425468203.41028,53425468203.41028
2036-01-01,45665563144.193726,37245673764.95704,37245673764.95704,54085452523.43041,54085452523.43041
2037-01-01,45608515117.61551,36873433285.26571,36873433285.26571,54343596949.96531,54343596949.96531
2038-01-01,46246293203.38881,37207002740.24336,37207002740.24336,55285583666.534256,55285583666.534256
2039-01-01,46812385026.79043,37478795709.89968,37478795709.89968,56145974343.681175,56145974343.681175
2040-01-01,46220678428.320114,36601790395.09913,36601790395.09913,55839566461.5411,55839566461.5411
2041-01-01,46640744003.030426,36744778943.7294,36744778943.7294,56536709062.33145,56536709062.33145
2042-01-01,47673775590.20293,37508282886.24748,37508282886.24748,57839268294.15837,57839268294.15837
2043-01-01,47805579387.83396,37377523031.3773,37377523031.3773,58233635744.29063,58233635744.29063
2044-01-01,46349057135.096085,35664887685.26514,35664887685.26514,57033226584.92703,57033226584.92703
2045-01-01,46876212055.8138,35649716314.88432,35649716314.88432,58102707796.74327,58102707796.74327
2046-01-01,46574913752.02576,34750686538.76737,34750686538.76737,58399140965.28414,58399140965.28414
2047-01-01,47342591116.76954,34949428011.23378,34949428011.23378,59735754222.3053,59735754222.3053
2048-01-01,47655987737.403404,34718884725.90716,34718884725.90716,60593090748.89965,60593090748.89965
2049-01-01,47592341274.827194,34133263412.665993,34133263412.665993,61051419136.988396,61051419136.988396
2050-01-01,48375082698.28823,34413531227.575165,34413531227.575165,62336634169.0013,62336634169.0013
2051-01-01,49357927888.93582,34911369058.57685,34911369058.57685,63804486719.29479,63804486719.29479
2052-01-01,49302157679.2984,34386353825.376366,34386353825.376366,64217961533.220436,64217961533.220436
2053-01-01,49709211213.15043,34338481003.484787,34338481003.484787,65079941422.81607,65079941422.81607
2054-01-01,50864872623.59489,35052298837.26964,35052298837.26964,66677446409.920135,66677446409.920135
2055-01-01,51108494018.64122,34866091723.48694,34866091723.48694,67350896313.7955,67350896313.7955
2056-01-01,50747748695.1453,34086603029.637016,34086603029.637016,67408894360.65359,67408894360.65359
2057-01-01,51179933958.32822,33981159099.96591,33981159099.96591,68378708816.69052,68378708816.69052
2058-01-01,51447621343.144554,33695543450.00553,33695543450.00553,69199699236.28357,69199699236.28357
2059-01-01,52504936880.01112,34216287875.245487,34216287875.245487,70793585884.77676,70793585884.77676
2060-01-01,52830281769.78764,34020361639.30981,34020361639.30981,71640201900.26547,71640201900.26547
2061-01-01,52770756986.83699,33453627070.351078,33453627070.351078,72087886903.3229,72087886903.3229
2062-01-01,53462947795.63985,33651589409.45555,33651589409.45555,73274306181.82414,73274306181.82414
2063-01-01,54185470106.26181,33891916105.02105,33891916105.02105,74479024107.50256,74479024107.50256
2064-01-01,53794929945.81757,33030374884.44641,33030374884.44641,74559485007.18874,74559485007.18874
2065-01-01,54210111385.08672,32985004558.685246,32985004558.685246,75435218211.4882,75435218211.4882
